id,Hotel Name,Address
1,Gramercy Park Hotel,Two Lexington Avenue New York
2,Palm Beach Marriott Singer Island Beach Resort & Spa,3800 North Ocean Drive
3,The Chatwal,130 West 44th Street New York
4,The Cosmopolitan of Las Vegas,3708 Las Vegas Boulevard South Las Vegas
5,The Joseph,401 Korean Veterans Boulevard Nashville
6,The Miami Beach EDITION,2901 Collins Avenue Miami Beach
7,The Ritz-Carlton,0130 Daybreak Ridge
8,The Ritz-Carlton,10 Avery Street Boston
9,The Ritz-Carlton,1 Ritz-Carlton Drive Kapalua
10,The Ritz-Carlton,1 Lincoln Road Miami Beach
11,The Ritz-Carlton,900 W Olympic Blvd Los Angeles
12,The Ritz-Carlton,280 Vanderbilt Beach Rd. Naples
13,The Ritz-Carlton,13031 Ritz-Carlton Highlands Court Truckee
14,The Ritz-Carlton Bal Harbour,10295 Collins Avenue Bal Harbour
15,The Ritz-Carlton New York,50 Central Park South New York
16,The Ritz-Carlton Residences,383 Kalaimoku Street Waikiki Beach
17,The St. Regis Aspen Resort,315 East Dean Street Aspen
18,The St. Regis Bal Harbour Resort,9703 Collins Avenue Bal Harbour - Miami Beach
19,The St. Regis Deer Valley,2300 Deer Valley Drive East Park City
20,The St. Regis New York,Two East 55th Street
21,The Westin Nanea Ocean Villas,45 Kai Malina Parkway
22,Beaver Creek Lodge,26 Avondale Lane Beaver Creek
23,Boston Marriott Long Wharf,296 State Street Boston
24,Casa Monica Resort & Spa,95 Cordova Street St. Augustine
25,Grand Bohemian Hotel Asheville,11 Boston Way Asheville
26,Grand Bohemian Hotel Charleston,55 Wentworth Street Charleston
27,Hotel Park City,2001 Park Avenue Park City
28,JW Marriott,1775 South Clementine Street Anaheim
29,JW Marriott Essex House New York,160 Central Park South New York
30,JW Marriott Marco Island Beach Resort,400 South Collier Boulevard Marco Island
31,JW Marriott Nashville,201 8th Avenue South Nashville
32,Key West Marriott Beachside Hotel,3841 North Roosevelt Boulevard Key West
33,Koloa Landing Resort at Poipu,2641 Poipu Road Koloa
34,Le Méridien New York,120 West 57th Street New York
35,Lido House,3300 Newport Boulevard Newport Beach
36,Marriott Stanton South Beach,161 Ocean Drive Miami Beach
37,Marriott Vacation Club Pulse at Custom House,3 McKinley Square Boston
38,Marriott's Crystal Shores,600 S Collier Blvd Marco Island
39,Marriott's Kauai Lagoons - Kalanipu'u,N/A
40,Marriott's Newport Coast Villas,23000 Newport Coast Drive Newport Coast
41,Marriott's Waiohai Beach Club,2249 Poipu Road
42,Marriott’s Waikoloa Ocean Club,69-275 Waikoloa Beach Drive
43,Mauna Kea Beach Hotel,62-100 Mauna Kea Beach Drive Kohala Coast
44,Moana Surfrider,2365 Kalakaua Avenue Honolulu
45,Monterey Marriott,350 Calle Principal Monterey
46,Napa Valley Marriott Hotel & Spa,3425 Solano Avenue Napa
47,New York Marriott Marquis,1535 Broadway New York
48,Newport Marriott,25 America's Cup Avenue Newport
49,Noelle,200 4th Avenue North Nashville
50,Playa Largo Resort & Spa,97450 Overseas Highway Key Largo
51,Renaissance Boston Patriot Place Hotel,28 Patriot Place Foxborough
52,Renaissance New York Times Square Hotel,Two Times Square
53,Sheraton Maui Resort & Spa,2605 Kaanapali Parkway
54,Sheraton Waikiki,2255 Kalakaua Avenue Honolulu
55,SLS Hotel,465 S. La Cienega Boulevard Los Angeles
56,The Algonquin Hotel Times Square,59 West 44th Street New York
57,The Cavalier Virginia Beach,4200 Atlantic Avenue Virginia Beach
58,The Envoy Hotel,70 Sleeper Street Boston
59,The Liberty,215 Charles Street Boston
60,The New York EDITION,5 Madison Avenue (Hotel Entrance on 24th Street between Madison & Park Avenues) New York
61,The Press Hotel,119 Exchange Street Portland
62,The Ritz-Carlton,4750 Amelia Island Parkway Amelia Island
63,The Ritz-Carlton,1881 Curtis Street Denver
64,The Ritz-Carlton,2121 McKinney Avenue Dallas
65,The Ritz-Carlton,One Ritz-Carlton Drive Dana Point
66,The Ritz-Carlton,1 North Fort Lauderdale Beach Boulevard Fort Lauderdale
67,The Ritz-Carlton,1 Miramontes Point Road Half Moon Bay
68,The Ritz-Carlton,4375 Admiralty Way Marina del Rey
69,The Ritz-Carlton,921 Canal Street New Orleans
70,The Ritz-Carlton,10 Avenue of the Arts Philadelphia
71,The Ritz-Carlton,68900 Frank Sinatra Drive Rancho Mirage
72,The Ritz-Carlton,1150 22nd Street
73,The Ritz-Carlton Georgetown,3100 South Street NW Washington
74,The Ritz-Carlton Golf Resort,2600 Tiburon Drive Naples
75,The Ritz-Carlton Key Biscayne,455 Grand Bay Drive
76,The Ritz-Carlton Reynolds,1 Lake Oconee Trail Greensboro
77,The Royal Hawaiian,2259 Kalakaua Avenue Honolulu
78,The Saint Hotel Key West,417 Eaton Street Key West
79,The St. Regis Atlanta,Eighty-Eight West Paces Ferry Road Atlanta
80,The St. Regis Washington,923 16th and K Streets
81,The Times Square EDITION,701 7th Avenue New York
82,The Wagner at the Battery,2 West Street New York
83,The West Hollywood EDITION,9040 West Sunset Boulevard West Hollywood
84,The Westin Anaheim Resort,1030 West Katella Avenue Anaheim
85,The Westin Ka'anapali Ocean Resort Villas,6 Kai Ala Drive
86,The Westin Maui Resort & Spa,2365 Kaanapali Parkway
87,The Westin Monache Resort,50 Hillside Drive Mammoth Lakes
88,The Westin Nashville,807 Clark Place Nashville
89,The Westin New York at Times Square,270 West 43rd Street New York
90,The Westin Palo Alto,675 El Camino Real Palo Alto
91,The Westin Princeville Ocean Resort Villas,3838 Wyllie Road
92,The Westin Riverfront Mountain Villas,218 Riverfront Lane Avon
93,The Westin Riverfront Resort & Spa,126 Riverfront Lane
94,The Westin Verasa Napa,1314 Mckinstry Street Napa
95,AC Hotel Asheville Downtown,10 Broadway Street Asheville
96,Marriott's Maui Ocean Club - Molokai,100 Nohea Kai Drive
97,Courtyard Anaheim Theme Park Entrance,1420 South Harbor Boulevard Anaheim
98,Courtyard Ocean City Oceanfront,Two 15th Street Ocean City
99,Ambassador Hotel Kansas City,1111 Grand Boulevard Kansas City
100,Annapolis Waterfront Hotel,80 Compromise Street Annapolis
101,Austin Marriott Downtown,304 East Cesar Chavez Street Austin
102,Austin Proper Hotel,600 West 2nd Street Austin
103,Avalon Hotel & Bungalows Palm Springs,415 S Belardo Road Palm Springs
104,Avalon Hotel Beverly Hills,9400 W Olympic Blvd Beverly Hills
105,Beverly Hills Marriott,1150 South Beverly Drive Los Angeles
106,Boston Marriott Cambridge,50 Broadway Cambridge
107,Boston Marriott Copley Place,110 Huntington Avenue Boston
108,Boulder Marriott Hotel & Spa,2660 Canyon Boulevard Boulder
109,Cadillac Hotel & Beach Club,3925 Collins Avenue Miami Beach
110,Charleston Historic District/Hotel Bella Grace,117 Calhoun Street Charleston
111,Charleston Kiawah Island/Andell Inn,300 Farm Lake View Road Kiawah Island
112,Chicago Marriott Downtown Magnificent Mile,540 North Michigan Avenue
113,Coronado Island Marriott Resort & Spa,2000 Second Street Coronado
114,Sheraton Sand Key Resort,1160 Gulf Blvd. Clearwater Beach
115,Clearwater Beach Marriott Suites on Sand Key,1201 Gulf Boulevard Clearwater Beach
116,The Ritz-Carlton,1515 West Third Street Cleveland
117,Epicurean Hotel,1207 South Howard Avenue Tampa
118,Fort Lauderdale Marriott Harbor Beach Resort & Spa,3030 Holiday Drive Fort Lauderdale
119,Gaylord Opryland Resort & Convention Center,2800 Opryland Drive Nashville
120,Grand Bohemian Hotel Mountain Brook,2655 Lane Park Road Birmingham
121,Hi-Lo Hotel,320 SW Harvey Milk Street Portland
122,Hollywood Beach Marriott,2501 North Ocean Drive Hollywood
123,Hotel Beaux Arts,255 Biscayne Boulevard Way
124,Hotel Citrine,748 San Antonio Road Palo Alto
125,Hotel Distil,101 West Main Street Louisville
126,Hotel EMC2,228 East Ontario Street Chicago
127,Hotel Ivy,201 South Eleventh Street Minneapolis
128,Hotel Nia,200 Independence Drive Menlo Park
129,HOTEL PASEO,45-400 Larkspur Lane Palm Desert
130,Hotel Trio Healdsburg,110 Dry Creek Road Healdsburg
131,Hotel Zachary,3630 North Clark Street Chicago
132,Ithaca Marriott Downtown on the Commons,120 South Aurora Street Ithaca
133,JW Marriott Austin,110 East 2nd Street Austin
134,JW Marriott Chicago,151 West Adams Street Chicago
135,JW Marriott Desert Springs Resort & Spa,74-855 Country Club Drive Palm Desert
136,JW Marriott Los Angeles L.A. LIVE,900 West Olympic Boulevard Los Angeles
137,JW Marriott Marquis Miami,255 Biscayne Boulevard Way Miami
138,JW Marriott Miami Turnberry Resort & Spa,19999 West Country Club Drive Aventura
139,JW Marriott New Orleans,614 Canal Street
140,JW Marriott Orlando,4040 Central Florida Parkway Orlando
