hotel_id,distance,rating,number_of_ratings
1,7237.12,4.1,29205.0
1,2742.01,4.7,217247.0
1,3787.47,4.0,5383.0
1,1123.98,4.8,278893.0
1,727.82,4.8,84037.0
1,2255.81,4.7,179342.0
1,8095.49,4.8,78689.0
1,3508.71,4.7,109516.0
1,2631.06,4.7,6907.0
1,1469.11,4.5,21044.0
1,1984.0,4.6,52031.0
1,8203.7,4.8,81993.0
1,2925.99,4.7,95861.0
1,3787.18,4.7,30595.0
1,6879.94,4.7,55270.0
1,2776.32,4.6,19258.0
1,3132.3,3.6,6796.0
1,4702.11,4.7,60507.0
1,3848.22,4.4,1638.0
1,9110.09,4.6,73537.0
2,9048.27,4.5,12918.0
2,8619.18,4.7,5452.0
2,8083.9,4.5,5008.0
2,7640.63,4.2,7281.0
2,9180.91,4.1,764.0
2,1667.19,4.4,2596.0
2,9953.98,4.4,2406.0
2,7837.51,3.9,515.0
2,4920.91,2.6,728.0
2,3594.67,4.6,3712.0
2,8774.78,4.5,908.0
2,9610.16,4.5,10647.0
2,9308.17,4.7,1477.0
2,8876.65,4.6,1689.0
2,1249.82,4.6,2207.0
2,7653.15,3.2,638.0
2,9819.95,4.0,181.0
2,8776.89,4.8,2311.0
2,8249.57,4.2,1107.0
2,9918.54,4.2,1587.0
3,185.13,4.7,217247.0
3,1000.35,4.0,5383.0
3,3310.82,4.8,278893.0
3,556.47,4.7,179342.0
3,3120.95,4.8,84037.0
3,5698.76,4.8,78689.0
3,898.89,4.7,109516.0
3,740.57,4.7,6907.0
3,2902.5,4.5,21044.0
3,803.43,4.6,52031.0
3,5550.32,4.8,81993.0
3,354.65,4.7,95861.0
3,999.94,4.7,30595.0
3,9324.12,4.5,33099.0
3,641.47,4.6,19258.0
3,483.22,3.6,6796.0
3,1945.51,4.7,60507.0
3,1080.67,4.4,1638.0
3,6495.25,4.6,73537.0
3,9022.0,4.7,104472.0
4,3856.88,4.2,38747.0
4,348.23,4.7,134839.0
4,1350.7,4.6,113572.0
4,993.76,4.4,105170.0
4,816.17,4.5,127697.0
4,1606.38,4.1,96282.0
4,1239.7,4.1,78080.0
4,1975.56,4.5,67707.0
4,3176.38,3.8,74925.0
4,7328.99,4.6,132753.0
4,1672.3,4.2,58438.0
4,2165.6,4.7,61140.0
4,311.45,4.5,42636.0
4,505.24,4.4,74198.0
4,2.7,4.6,73393.0
4,869.14,4.0,68298.0
4,4506.72,4.0,60598.0
4,478.5,4.3,63064.0
4,6178.26,4.4,27742.0
4,873.24,4.4,76505.0
5,9542.95,4.3,15072.0
5,9088.99,4.5,28575.0
5,9488.16,4.5,31453.0
5,9291.21,4.8,28726.0
5,422.6,4.7,15695.0
5,204.31,4.6,17190.0
5,1132.79,4.5,11435.0
5,2825.98,4.4,708.0
5,8021.37,4.5,18815.0
5,6671.55,4.4,6765.0
5,3538.23,4.6,13005.0
5,597.38,4.8,17379.0
5,96.6,4.5,6059.0
5,3505.04,4.7,13606.0
5,553.88,4.6,1942.0
5,556.27,4.4,6647.0
5,720.06,4.4,4068.0
5,476.43,4.6,9990.0
5,3064.56,4.4,1369.0
5,422.9,4.5,2897.0
